ID,Test Steps,Expected results,A result,Comment
UI-LG-001,"Mở màn hình Đăng nhập","Tiêu đề hiển thị 'Đăng nhập' và phụ đề 'Nhập email và mật khẩu'","Not Run","Theo Login.kt"
UI-LG-002,"Xem trường Email","Trường 'Email' xuất hiện và nhập được","Not Run","testTag: login:email_input"
UI-LG-003,"Xem trường Mật khẩu","Trường 'Mật khẩu' xuất hiện, nhập được và che ký tự","Not Run","testTag: login:password_input"
UI-LG-004,"Nhấn nút 'Đăng nhập' khi chưa nhập gì","Hiển thị alert 'Đang xác thực...' sau khi nhấn","Not Run","testTag: login:login_button"
UI-LG-005,"Nhập email hợp lệ và mật khẩu hợp lệ rồi nhấn 'Đăng nhập'","Alert hiển thị ' Chúc mừng bạn đăng nhập thành công!'","Not Run","Chuỗi có khoảng trắng đầu trong code"
UI-LG-006,"Sau alert thành công của đăng nhập","Điều hướng tới màn 'main'","Not Run","navController.navigate('main')"
UI-LG-007,"Nhấn nút 'Đăng kí' trên màn Đăng nhập","Điều hướng tới 'authEntry'","Not Run","testTag: login:register_button"
UI-LG-008,"Khi trạng thái isLoading=true","Nút 'Đăng nhập' và các trường bị vô hiệu hóa","Not Run","enabled = !state.isLoading"
UI-LG-009,"Khi lỗi đăng nhập xảy ra","Alert hiển thị thông báo lỗi từ state.error","Not Run","Kiểm tra chuỗi lỗi hiển thị"

UI-RG-010,"Mở màn 'Tạo tài khoản' (RegisterEntry)","Tiêu đề 'Tạo tài khoản', phụ đề 'Nhập email của bạn'","Not Run","RegisterEntryScreen.kt"
UI-RG-011,"Xem phần tiêu đề nội dung","Hiển thị 'Nhập Email' (văn bản lớn)","Not Run","Text('Nhập Email', 24sp)"
UI-RG-012,"Xem trường 'Email'","Trường 'Email' xuất hiện và nhập được","Not Run","UnderlineTextField(label='Email')"
UI-RG-013,"Xem trường 'Mật khẩu'","Trường 'Mật khẩu' xuất hiện, nhập được và che ký tự","Not Run","isPassword=true"
UI-RG-014,"Nhấn nút 'Tiếp theo' trên RegisterEntry","Hiển thị alert theo trạng thái: Loading/Success/Error","Not Run","CustomLinearButton('Tiếp theo')"
UI-RG-015,"RegisterEntry thành công","Điều hướng tới 'registerInfoInput1' và popUpTo","Not Run","LaunchedEffect(state.isSuccess)"
UI-RG-016,"RegisterEntry khi email sai định dạng","Alert hiển thị 'Sai dạng email'","Not Run","alertMessage else-branch"

UI-RG-017,"Mở màn EmailInputScreen","Tiêu đề 'Tạo tài khoản', phụ đề 'Nhập email của bạn'","Not Run","EmailInputScreen.kt"
UI-RG-018,"Xem trường 'Email' ở EmailInput","Trường 'Email' xuất hiện, nhập được","Not Run","imeAction=Done"
UI-RG-019,"Xem nút ở EmailInput","Nút hiển thị đúng chữ 'Tếp theo' (theo code)","Not Run","Lỗi chính tả có chủ ý"
UI-RG-020,"Nhấn 'Tếp theo' khi có email hợp lệ","Alert Loading và sau đó Success/Fail","Not Run","viewModel.sendEmailToBE()"
UI-RG-021,"EmailInput khi thành công","Alert 'Đã gửi link xác thực thành công!'","Not Run","alertMessage success"
UI-RG-022,"EmailInput khi lỗi","Alert hiển thị 'Lỗi: <nội dung>'","Not Run","state.error != null"

UI-RG-023,"Mở màn PasswordInputScreen","Tiêu đề 'Tạo tài khoản', phụ đề 'Nhập mật khẩu'","Not Run","PasswordInputScreen.kt"
UI-RG-024,"Xem văn bản đầu màn PasswordInput","'Nhập mật khau' hiển thị (theo code)","Not Run","Lỗi chính tả có chủ ý"
UI-RG-025,"Xem trường nhập ở PasswordInput","Trường hiển thị label 'Email' và không che ký tự","Not Run","Theo code hiện tại"
